,project,total,passed,not_passed,failure_rate,total_main,passed_in_main,not_passed_in_main,main_failure_rate
0,junit-team-junit5.csv,2011,1861,150,7.458975634012929,1696,1606,90,5.306603773584905
1,ratpack-ratpack.csv,2014,1245,769,38.182720953326715,1876,1145,731,38.965884861407254
2,p6spy-p6spy.csv,2040,1305,735,36.029411764705884,1288,790,498,38.66459627329192
3,apache-tajo.csv,2081,1597,484,23.258049014896685,1287,1013,274,21.28982128982129
4,osmdroid-osmdroid.csv,2134,705,1429,66.96344892221181,1064,436,628,59.02255639097744
5,DSpace-DSpace.csv,2162,1973,189,8.741905642923218,1576,1493,83,5.2664974619289335
6,apache-nifi.csv,2187,1370,817,37.357110196616375,1271,900,371,29.189614476789927
7,caelum-vraptor4.csv,2252,1974,278,12.344582593250445,1428,1276,152,10.644257703081232
8,grails-grails-core.csv,2349,1596,753,32.05619412515964,1062,705,357,33.61581920903955
9,square-wire.csv,2378,2239,139,5.84524810765349,1122,1062,60,5.347593582887701
10,puniverse-quasar.csv,2390,1869,521,21.799163179916317,1267,1123,144,11.365430149960536
11,dropwizard-dropwizard.csv,2404,2200,204,8.48585690515807,2020,1865,155,7.673267326732673
12,essentials-Essentials.csv,2449,2064,385,15.720702327480604,89,30,59,66.29213483146067
13,mybatis-mybatis-3.csv,2526,2318,208,8.234362628661916,2151,1989,162,7.531380753138076
14,naver-pinpoint.csv,2540,2134,406,15.984251968503937,2142,1814,328,15.31279178338002
15,FasterXML-jackson-databind.csv,2591,1832,759,29.29370899266692,2241,1580,661,29.495760821062028
16,samtools-htsjdk.csv,2772,2483,289,10.425685425685426,1709,1556,153,8.952603861907548
17,deeplearning4j-deeplearning4j.csv,2789,269,2520,90.35496593761205,1840,206,1634,88.80434782608695
18,open-keychain-open-keychain.csv,2848,2221,627,22.015449438202246,1783,1400,383,21.48065058889512
19,yegor256-takes.csv,2965,2210,755,25.463743676222595,2653,1967,686,25.857519788918204
20,keycloak-keycloak.csv,3070,2811,259,8.436482084690553,2325,2121,204,8.774193548387096
21,rackerlabs-blueflood.csv,3221,2630,591,18.34833902514747,2208,1821,387,17.527173913043477
22,xetorthio-jedis.csv,3258,2737,521,15.991405770411296,1592,1371,221,13.881909547738694
23,orbeon-orbeon-forms.csv,3414,1733,1681,49.23842999414177,2654,1334,1320,49.736247174076865
24,linkedin-gobblin.csv,3678,2013,1665,45.26916802610114,3476,1876,1600,46.029919447640964
25,JabRef-jabref.csv,3743,3324,419,11.194229227892064,2862,2620,242,8.455625436757511
26,jOOQ-jOOQ.csv,3807,2856,951,24.980299448384553,3451,2622,829,24.022022602144304
27,structr-structr.csv,3880,2019,1861,47.9639175257732,2512,1375,1137,45.26273885350319
28,floragunncom-search-guard.csv,3977,3559,418,10.510435001257228,3652,3305,347,9.501642935377875
29,SpongePowered-SpongeForge.csv,4045,3225,820,20.27194066749073,3133,2545,588,18.767954037663582
30,sakaiproject-sakai.csv,4214,3822,392,9.30232558139535,3797,3485,312,8.217013431656571
31,dreamhead-moco.csv,4537,2985,1552,34.20762618470355,4415,2897,1518,34.38278595696489
32,nutzam-nutz.csv,4666,2548,2118,45.39219888555508,4561,2468,2093,45.88905941679457
33,CloudSlang-cloud-slang.csv,4848,3988,860,17.73927392739274,2169,1807,362,16.68971876440756
34,geotools-geotools.csv,5598,3002,2596,46.37370489460522,4290,2190,2100,48.95104895104895
35,CloudifySource-cloudify.csv,5752,4272,1480,25.73018080667594,5148,3910,1238,24.048174048174047
36,SpongePowered-SpongeCommon.csv,5754,4363,1391,24.174487313173447,3715,3083,632,17.012113055181697
37,apache-zeppelin.csv,6040,2503,3537,58.55960264900663,4613,2068,2545,55.17017125514849
38,typetools-checker-framework.csv,6305,3446,2859,45.34496431403648,4573,2927,1646,35.993877104745245
39,geoserver-geoserver.csv,6742,3166,3576,53.040640759418565,5371,2679,2692,50.1210202941724
40,ngageoint-geowave.csv,6940,5095,1845,26.585014409221902,2934,2403,531,18.098159509202453
41,sparklemotion-nokogiri.csv,7236,4490,2746,37.94914317302377,5827,3712,2115,36.29655054058693
42,Graylog2-graylog2-server.csv,8862,7974,888,10.020311442112389,3154,2932,222,7.038681039949271
43,cloudfoundry-uaa.csv,8978,7941,1037,11.550456671864557,286,261,25,8.741258741258742
44,apache-jackrabbit-oak.csv,9430,5090,4340,46.02332979851538,7584,4050,3534,46.598101265822784
45,apache-pdfbox.csv,10643,4671,5972,56.11199849666447,8988,4212,4776,53.13751668891856
46,apache-sling.csv,15041,252,14789,98.32457948274715,14296,252,14044,98.23726916620033
47,SonarSource-sonar-java.csv,16278,12590,3688,22.656345988450667,12241,9606,2635,21.526019116085287
48,killbill-killbill.csv,18120,7083,11037,60.91059602649007,6399,3286,3113,48.64822628535709
49,checkstyle-checkstyle.csv,46889,41999,4890,10.428885239608437,46743,41853,4890,10.461459469867146
